City,weekly_score,level
Acton,11.608786177291279,2
Agoura Hills,11.148890282806466,1
Alhambra,8.847389188134711,1
Altadena,11.487840243427355,2
Arcadia,9.514979173406868,1
Artesia,6.157499852839506,1
Avalon,15.613946584316153,3
Baldwin Park,8.93876863886654,1
Bell,10.947852527898661,1
Bell Gardens,12.201014107589957,2
Bellflower,9.65894691140872,1
Beverly Hills,26.505674506194946,4
Burbank,18.57747316428775,4
Calabasas,17.23279065564281,3
Canoga Park,12.617621929003075,2
Chatsworth,19.307653614575056,4
Claremont,9.295791947417685,1
Commerce,11.670434122085648,2
Compton,11.192393121423375,1
Covina,16.929199124753907,3
Cudahy,14.388270139679207,2
Culver City,16.840433672151025,3
Downey,7.045315339610793,1
Duarte,14.071925426999474,2
El Monte,13.903804321569995,2
El Segundo,17.806637962604334,4
Encino,12.549246229916381,2
Gardena,9.45794685034065,1
Glendale,12.095727898432717,2
Glendora,11.595141289025221,2
Granada Hills,17.47912510442356,4
Harbor City,17.190009549390894,3
Hawthorne,9.612044068153434,1
Hermosa Beach,14.11084799679169,2
Hidden Hills,10.005258552282182,1
Huntington Park,10.553118214880527,1
Industry,18.10927190611992,4
Inglewood,14.07226167750193,2
Irwindale,7.90629794266192,1
La Canada Flintridge,15.482163303729248,3
La Habra Heights,14.258592159341436,2
La Puente,14.918531424262502,3
La Verne,15.785240551683357,3
Lakewood,14.974562886560433,3
Lancaster,9.69453381608823,1
Lawndale,15.267685139722639,3
Lomita,17.37783365333462,4
Los Angeles,21.967128011472028,4
Lynwood,15.903092616808213,3
Malibu,25.640090922052362,4
Newhall,15.339125659908992,3
North Hills,9.644504863164462,1
North Hollywood,9.230654402077866,1
Northridge,12.188132717684466,2
Pacific Palisades,26.199415842767486,4
Pacoima,7.138987831386615,1
Palmdale,14.019833724513102,2
Panorama City,11.228799673050956,1
Paramount,7.229238531196821,1
Pico Rivera,9.066330235616226,1
Playa Del Rey,28.096147419088304,4
Playa Vista,24.63730528243852,4
Pomona,16.554630238089405,3
Porter Ranch,20.37464463859508,4
Rancho Palos Verdes,15.286801751557688,3
Redondo Beach,15.483440951649538,3
Reseda,17.277604061581222,3
Rolling Hills,16.16667165638498,3
Rolling Hills Estates,14.664588534765716,3
San Dimas,15.978824943195404,3
San Fernando,16.029519930408462,3
San Pedro,17.108684070515565,3
Sherman Oaks,11.307505051621499,2
South El Monte,26.452924077776952,4
South Gate,14.067804286733578,2
South Pasadena,26.20002898518269,4
Studio City,21.964306777208176,4
Sun Valley,13.82407042650554,2
Sunland,18.577334908347204,4
Sylmar,14.503566691945577,2
Tarzana,13.126676094006493,2
Torrance,17.80452067865945,4
Tujunga,21.449973773609933,4
Valley Village,21.404586659444625,4
Van Nuys,7.105738098862231,1
Venice,20.945295096542136,4
West Hills,25.663479052951747,4
Wilmington,14.365542718518062,2
Winnetka,15.628128845704266,3
Woodland Hills,19.902718280875515,4
